"","YEAR","ABSTRACT","AUTHOR","name","last_name","gender_g","gender_ize","gender_jur","gender_final"
"1",2022,"present deep learning system multimedia automatic misogyny identification mami challenge semeval task identifying classifying misogynistic messages online memes adapt learning multimodal subtasks mami challenge transfer knowledge among correlated subtasks also leverage ensemble learning synergistic integration models individually trained subtasks finally discuss errors system provide useful insights future work","Wan, Yue  and","Yue","Wan","","female","","female"
"2",2022,"described two entries emukans guntis definition modeling track codwoe task approach based careful scaling gru recurrent neural network exhibits double descent errors corresponding significant improvements also per human judgement results middle ranking table per official automatic metrics","Kwako, Alexander  and","Alexander","Kwako","male","","","male"
"3",2022,"patronizing condescending language problem lives rise patronizing language social media platforms manifesting various forms paper presents two performing deep learning algorithms results task patronizing condescending language detection semeval task incorporates english dataset containing sentences social media around world paper focuses data augmentation boost results various deep learning methods bert lstm neural network","Zhang, Borui  and","Borui","Zhang","","female","","female"
"4",2022,"iscas participated task structured sentiment competition design pipeline architecture tackle monolingual experimental results show multilingual effectiveness robustness system system openly released https","Wiemerslage, Adam  and","Adam","Wiemerslage","male","","","male"
"5",2022,"numerous works analyzed biases vision language models individually however less attention paid biases interact multimodal settings work extends bias analysis methods investigate multimodal language models analyzes associations biases learned models specifically demonstrate su et exhibits gender biases often preferring reinforce stereotype faithfully describing visual scene demonstrate findings controlled extend larger set stereotypically gendered entities","Kanclerz, Kamil  and","Kamil","Kanclerz","male","","","male"
"6",2022,"propose novel siamese generative adversarial net abstractive text summarization sspgan preserve main semantics source text different previous generative adversarial net based methods sspgan equipped siamese discriminator trained discriminate summaries ones also ensure semantic consistency source text target summary consequence game generator siamese discriminator generator generate summary conveys key content source text accurately extensive experiments several text summarization benchmarks different languages demonstrate proposed model achieve significant improvements methods","Zhang, Huibin  and","Huibin","Zhang","","male","female","female"
"7",2022,"ambition information seeking qa systems reason contexts generate natural answers user queries today memory intensive language models adapted downstream tasks qa model qa data specific modality like unstructured text structured tables avoid training models utilizing uniform architecture modality adapters add train small layers transformer layers work study abstractive qa models structured tabular data unstructured textual data using additional parameters modality also ablate adapter layers encoder decoder modules study demonstrate reducing additional trainable parameters leads comparable results models current models tabular qa datasets tablesum fetaqa achieve comparable performance textual qa dataset narrativeqa using significantly less trainable parameters","Li, Yingya  and","Yingya","Li","","female","","female"
"8",2022,"work investigate knowledge learned embeddings models specifically probe capabilities storing grammatical structure linguistic data structure learned objects visual data reach goal first make inherent structure language visuals explicit dependency parse sentences describe image dependencies object regions image respectively call explicit visual structure scene tree based dependency tree language description extensive probing experiments show models encode scene trees","Li, Xiangyang  and","Xiangyang","Li","","male","","male"
"9",2021,"present dreamdrug crowdsourced dataset detecting mentions drugs noisy item listings darknet markets dataset contains nearly manually annotated drug entities item listings scraped darknet market platform dreammarket also train evaluate baseline models detecting entities using contextual language models setting full dataset examine effect pretraining unannotated corpora","Elazar, Yanai  and","Yanai","Elazar","","female","","female"
"10",2021,"paper describes system submitted multilingual shared task small task wmt based massively multilingual model model selective system reported average bleu score task","Winkler, Justine  and","Justine","Winkler","female","","","female"
"11",2021,"paper describes results shared tasks organized part vardial evaluation campaign campaign part eighth workshop natural language processing nlp similar languages varieties dialects vardial eacl four separate shared tasks included year dravidian language identification dli romanian dialect identification rdi social media variety geolocation smg uralic language identification uli dli organized first time three continued series tasks previous evaluation campaigns","Saeidi, Marzieh  and","Marzieh","Saeidi","female","","","female"
"12",2021,"paper describes air force research laboratory afrl machine translation tems improvements developed evaluation campaign year explore various methods adapting baseline models measure improvements performance russian english language pair","Bogin, Ben  and","Ben","Bogin","male","","","male"
