index,year,topic,prob,prob,prob,prob
,,,mean,median,std,count
0,1963,0,0.07924299633928708,0.057824648916721344,0.0815124697798638,7
1,1963,1,0.25519119924865663,0.0177855072543025,0.4769879346485657,4
2,1963,2,0.21801628862266187,0.19686897099018097,0.10105814459924023,27
3,1963,3,0.08009004356960456,0.06802026927471161,0.06399375894799676,15
4,1963,4,0.10863911506274472,0.09114402532577515,0.10662844684792834,23
5,1963,5,0.23818436611829133,0.20543831586837769,0.13369693521736553,29
6,1963,6,0.37915249704383314,0.41404658555984497,0.14670826159686964,32
7,1963,7,0.03258362878113985,0.026395393535494804,0.025423043131282207,7
8,1963,8,0.12214766113230816,0.11823296919465065,0.0729611785985788,26
9,1963,9,0.02294917373607556,0.020519791170954704,0.011877494901727025,9
10,1971,0,0.04594786837697029,0.04594786837697029,,1
11,1971,1,0.09197277575731277,0.09197277575731277,,1
12,1971,2,,,,0
13,1971,3,,,,0
14,1971,4,0.1743573397397995,0.1743573397397995,,1
15,1971,5,0.38986867666244507,0.38986867666244507,,1
16,1971,6,0.22508017718791962,0.22508017718791962,,1
17,1971,7,0.06610489636659622,0.06610489636659622,,1
18,1971,8,,,,0
19,1971,9,,,,0
20,1974,0,0.18800474666059017,0.18516355752944946,0.13959595973252756,5
21,1974,1,0.020833751186728477,0.020833751186728477,0.005893146214543311,2
22,1974,2,0.03475980398555597,0.025001075118780136,0.02447536154467615,3
23,1974,3,0.06323626451194286,0.06010653730481863,0.04981258743787893,4
24,1974,4,0.022244940822323162,0.025003863498568535,0.004828854938686133,3
25,1974,5,0.5368758976459503,0.5841137766838074,0.16304318982556656,5
26,1974,6,0.16046281531453133,0.05009618308395147,0.24409652847115917,4
27,1974,7,0.02469572362800439,0.02500000223517418,0.007881323315048646,3
28,1974,8,0.03354556858539581,0.025000641122460365,0.022408509168574058,3
29,1974,9,0.020833334885537624,0.020833334885537624,0.005892557475753174,2
30,1975,0,0.30941191634961535,0.2675777077674866,0.1906978248746212,7
31,1975,1,0.02720115170814097,0.031148485839366913,0.011876672051806102,4
32,1975,2,0.07617271691560745,0.07136169075965881,0.04121173338784629,5
33,1975,3,0.0915508191101253,0.061124010011553764,0.10053903538799376,4
34,1975,4,0.04735406748950481,0.04389011859893799,0.027996214339857314,5
35,1975,5,0.38295616475599153,0.392822802066803,0.17003697551960026,7
36,1975,6,0.04889241768978536,0.0482905525714159,0.03448853730097392,4
37,1975,7,0.051000121515244246,0.03703828528523445,0.04027177401198997,4
38,1975,8,0.10339380502700805,0.12143469601869583,0.04469158718341084,5
39,1975,9,0.023611363333960373,0.027500754222273827,0.012143172742207548,3
40,1976,0,0.16683795694261788,0.1614869385957718,0.13667438015564254,10
41,1976,1,0.12397952214814723,0.029166669584810734,0.2018709181191466,4
42,1976,2,0.04942558736850818,0.039021313190460205,0.04374270999379529,6
43,1976,3,0.18264644925615617,0.11294447630643845,0.2651158614952129,7
44,1976,4,0.12171854770609311,0.07733716815710068,0.11480956672037085,7
45,1976,5,0.4518862938508391,0.45025400817394257,0.1736222148702873,10
46,1976,6,0.044953839387744665,0.029167688451707363,0.04456219293067325,4
47,1976,7,0.02727508172392845,0.029166669584810734,0.012334722787514968,4
48,1976,8,0.047192727060367666,0.03978101536631584,0.03052928051809826,6
49,1976,9,0.028776718117296696,0.03333333507180214,0.011131772439588735,5
50,1977,0,0.19109157077036798,0.11175445094704628,0.21869875792119314,8
51,1977,1,0.07034332832942407,0.034871455281972885,0.06415876086397622,6
52,1977,2,0.04733164748176932,0.029175315983593464,0.03928089163367131,4
53,1977,3,0.2535187610321575,0.11146519333124161,0.3024242960893613,9
54,1977,4,0.04061703570187092,0.03333676978945732,0.02082272665495636,5
55,1977,5,0.42963841845366085,0.5539547801017761,0.24971912176803454,11
56,1977,6,0.08317583323352867,0.048543788492679596,0.06745323088836096,9
57,1977,7,0.036381129175424576,0.02777825389057398,0.027993677061653354,6
58,1977,8,0.07171928174793721,0.03333784267306328,0.06573960358814819,5
59,1977,9,0.038333816919475794,0.02916667051613331,0.021474440713324952,4
60,1978,0,0.2653489921241999,0.30311959981918335,0.18420241908599663,5
61,1978,1,0.026015905663371086,0.026015905663371086,,1
62,1978,2,0.04702488053590059,0.04702488053590059,0.0523567157796826,2
63,1978,3,0.30069004744291306,0.10872010886669159,0.3700534601966284,3
64,1978,4,0.03695748094469309,0.03695748094469309,0.038119357570376745,2
65,1978,5,0.5133594597379366,0.4758130759000778,0.23703008779458198,6
66,1978,6,0.08333218439171712,0.11751102656126022,0.06355622144071475,3
67,1978,7,0.06390834599733353,0.06390834599733353,,1
68,1978,8,0.010000021196901798,0.010000021196901798,,1
69,1978,9,0.010000000707805157,0.010000000707805157,,1
70,1984,0,,,,0
71,1984,1,,,,0
72,1984,2,0.17068049311637878,0.14151014387607574,0.1011327635154698,7
73,1984,3,0.11265397071838379,0.11265397071838379,0.10566248639159942,2
74,1984,4,0.23308111456307498,0.20677697658538818,0.1208408037336648,11
75,1984,5,0.32654111459851265,0.36620429158210754,0.15060733413916408,12
76,1984,6,0.26795183718204496,0.23829590529203415,0.18297818532375315,10
77,1984,7,0.02709656519194444,0.019371172413229942,0.016148341984217635,3
